"              [,1]",Price,Open,High,Low,Change ,change_percent,
01/04/2015,7.801,7.722,7.807,7.711,0.0081,0.81,
10/04/2015,7.791,7.805,7.815,7.768,-0.0013,-0.13,
17/04/2015,7.787,7.792,7.802,7.751,-0.0005,-0.05,
24/04/2015,7.86,7.8,7.873,7.761,0.0094,0.94,
30/04/2015,7.977,7.875,8.007,7.846,0.0149,1.49,
08/05/2015,7.946,7.945,7.999,7.886,-0.0039,-0.39,
15/05/2015,7.858,7.927,7.927,7.834,-0.0111,-1.11,
22/05/2015,7.815,7.862,7.898,7.809,-0.0055,-0.55,
29/05/2015,7.983,7.815,8.017,7.806,0.0215,2.15,
05/06/2015,7.886,7.812,7.909,7.778,-0.0122,-1.22,
12/06/2015,7.708,7.88,7.909,7.698,-0.0226,-2.26,
19/06/2015,7.821,7.701,7.863,7.689,0.0147,1.47,
26/06/2015,7.799,7.865,7.925,7.789,-0.0028,-0.28,
03/07/2015,7.802,7.842,7.842,7.725,0.0004,0.04,
10/07/2015,7.83,7.878,7.909,7.812,0.0036,0.36,
17/07/2015,7.83,7.821,7.844,7.795,0,0,
24/07/2015,7.806,7.827,7.838,7.793,-0.0031,-0.31,
31/07/2015,7.809,7.788,7.858,7.776,0.0004,0.04,
07/08/2015,7.745,7.799,7.809,7.729,-0.0082,-0.82,
14/08/2015,7.784,7.745,7.794,7.712,0.005,0.5,
21/08/2015,7.777,7.824,7.911,7.756,-0.0009,-0.09,
28/08/2015,7.753,7.777,7.793,7.738,-0.0031,-0.31,
04/09/2015,7.771,7.76,7.803,7.752,0.0023,0.23,
11/09/2015,7.697,7.765,7.769,7.697,-0.0095,-0.95,
18/09/2015,7.715,7.702,7.727,7.693,0.0023,0.23,
24/09/2015,7.561,7.712,7.74,7.527,-0.02,-2,
01/10/2015,7.545,7.517,7.551,7.496,-0.0021,-0.21,
09/10/2015,7.564,7.542,7.587,7.536,0.0025,0.25,
16/10/2015,7.585,7.567,7.59,7.559,0.0028,0.28,
23/10/2015,7.64,7.589,7.648,7.583,0.0073,0.73,
30/10/2015,7.685,7.64,7.69,7.61,0.0059,0.59,
06/11/2015,7.646,7.74,7.747,7.646,-0.0051,-0.51,
13/11/2015,7.697,7.64,7.701,7.64,0.0067,0.67,
20/11/2015,7.766,7.697,7.771,7.692,0.009,0.9,
27/11/2015,7.757,7.763,7.788,7.686,-0.0012,-0.12,
04/12/2015,7.773,7.754,7.806,7.731,0.0021,0.21,
11/12/2015,7.725,7.781,7.818,7.699,-0.0062,-0.62,
18/12/2015,7.749,7.731,7.798,7.718,0.0031,0.31,
24/12/2015,7.727,7.741,7.784,7.719,-0.0028,-0.28,
01/01/2016,7.741,7.727,7.76,7.707,0.0018,0.18,
08/01/2016,7.806,7.742,7.825,7.736,0.0084,0.84,
15/01/2016,7.775,7.809,7.822,7.736,-0.004,-0.4,
22/01/2016,7.779,7.832,7.832,7.771,0.0005,0.05,
29/01/2016,7.822,7.793,7.87,7.775,0.0055,0.55,
05/02/2016,7.723,7.713,7.745,7.702,-0.0127,-1.27,
12/02/2016,7.738,7.748,7.799,7.733,0.0019,0.19,
19/02/2016,7.779,7.749,7.879,7.749,0.0053,0.53,
26/02/2016,7.633,7.794,7.794,7.604,-0.0188,-1.88,
04/03/2016,7.627,7.617,7.663,7.611,-0.0008,-0.08,
11/03/2016,7.52,7.637,7.637,7.512,-0.014,-1.4,
18/03/2016,7.507,7.5,7.525,7.472,-0.0017,-0.17,
23/03/2016,7.459,7.512,7.526,7.453,-0.0064,-0.64,
01/04/2016,7.447,7.451,7.478,7.353,-0.0016,-0.16,
08/04/2016,7.435,7.449,7.462,7.402,-0.0016,-0.16,
13/04/2016,7.456,7.434,7.48,7.412,0.0028,0.28,
22/04/2016,7.435,7.451,7.496,7.426,-0.0028,-0.28,
29/04/2016,7.435,7.439,7.447,7.42,0,0,
06/05/2016,7.448,7.428,7.458,7.419,0.0017,0.17,
13/05/2016,7.476,7.454,7.499,7.45,0.0038,0.38,
20/05/2016,7.47,7.478,7.485,7.456,-0.0008,-0.08,
27/05/2016,7.488,7.469,7.495,7.458,0.0024,0.24,
03/06/2016,7.491,7.475,7.495,7.464,0.0004,0.04,
10/06/2016,7.501,7.492,7.543,7.492,0.0013,0.13,
17/06/2016,7.473,7.538,7.546,7.469,-0.0037,-0.37,
24/06/2016,7.419,7.477,7.477,7.408,-0.0072,-0.72,
01/07/2016,7.384,7.424,7.429,7.367,-0.0047,-0.47,
08/07/2016,7.272,7.373,7.389,7.263,-0.0152,-1.52,
15/07/2016,7.249,7.286,7.295,7.238,-0.0032,-0.32,
22/07/2016,7.163,7.245,7.257,7.161,-0.0119,-1.19,
29/07/2016,7.166,7.138,7.225,7.124,0.0004,0.04,
05/08/2016,7.101,7.189,7.195,7.074,-0.0091,-0.91,
12/08/2016,7.099,7.112,7.161,7.091,-0.0003,-0.03,
19/08/2016,7.127,7.15,7.178,7.11,0.0039,0.39,
26/08/2016,7.119,7.143,7.146,7.092,-0.0011,-0.11,
02/09/2016,7.057,7.109,7.109,7.031,-0.0087,-0.87,
09/09/2016,7.051,7.077,7.102,7.049,-0.0009,-0.09,
16/09/2016,6.966,7.053,7.071,6.956,-0.0121,-1.21,
23/09/2016,6.958,6.952,7.041,6.91,-0.0011,-0.11,
30/09/2016,6.848,6.956,6.956,6.783,-0.0158,-1.58,
07/10/2016,6.852,6.821,6.87,6.798,0.0006,0.06,
14/10/2016,6.848,6.87,6.881,6.799,-0.0006,-0.06,
21/10/2016,6.885,6.844,6.914,6.832,0.0054,0.54,
30/10/2016,6.838,6.873,6.929,6.802,-0.0068,-0.68,
04/11/2016,6.722,6.841,6.846,6.632,-0.017,-1.7,
11/11/2016,6.428,6.721,6.727,6.386,-0.0437,-4.37,
18/11/2016,6.229,6.452,6.452,6.113,-0.031,-3.1,
25/11/2016,6.241,6.35,6.35,6.193,0.0019,0.19,
02/12/2016,6.437,6.22,6.462,6.169,0.0314,3.14,
09/12/2016,6.504,6.461,6.539,6.399,0.0104,1.04,
16/12/2016,6.544,6.518,6.55,6.459,0.0062,0.62,
23/12/2016,6.512,6.566,6.62,6.487,-0.0049,-0.49,
30/12/2016,6.385,6.483,6.483,6.294,-0.0195,-1.95,
06/01/2017,6.417,6.411,6.429,6.358,0.005,0.5,
13/01/2017,6.462,6.424,6.494,6.408,0.007,0.7,
20/01/2017,6.398,6.444,6.457,6.396,-0.0099,-0.99,
27/01/2017,6.408,6.38,6.459,6.376,0.0016,0.16,
03/02/2017,6.805,6.404,6.872,6.399,0.062,6.2,
10/02/2017,6.849,6.81,6.88,6.796,0.0065,0.65,
17/02/2017,6.915,6.851,6.953,6.843,0.0096,0.96,
23/02/2017,6.771,6.894,6.932,6.759,-0.0208,-2.08,
03/03/2017,6.904,6.761,6.904,6.761,0.0196,1.96,
10/03/2017,6.86,6.875,6.924,6.769,-0.0064,-0.64,
17/03/2017,6.828,6.852,6.9,6.76,-0.0047,-0.47,
24/03/2017,6.658,6.816,6.816,6.665,-0.0249,-2.49,
31/03/2017,6.819,6.658,6.851,6.554,0.0242,2.42,
07/04/2017,6.821,6.837,6.885,6.733,0.0003,0.03,
13/04/2017,6.918,6.852,6.962,6.833,0.0142,1.42,
21/04/2017,6.961,6.946,6.983,6.908,0.0062,0.62,
28/04/2017,6.942,6.968,6.994,6.931,-0.0027,-0.27,
05/05/2017,6.905,6.95,6.95,6.905,-0.0053,-0.53,
12/05/2017,6.854,6.865,6.888,6.799,-0.0074,-0.74,
19/05/2017,6.787,6.866,6.866,6.752,-0.0098,-0.98,
26/05/2017,6.624,6.656,6.674,6.611,-0.024,-2.4,
02/06/2017,6.501,6.609,6.672,6.496,-0.0186,-1.86,
09/06/2017,6.49,6.515,6.527,6.445,-0.0017,-0.17,
16/06/2017,6.459,6.487,6.498,6.419,-0.0048,-0.48,
23/06/2017,6.511,6.464,6.521,6.452,0.0081,0.81,
30/06/2017,6.529,6.61,6.618,6.514,0.0028,0.28,
07/07/2017,6.463,6.544,6.544,6.426,-0.0101,-1.01,
14/07/2017,6.436,6.462,6.466,6.431,-0.0042,-0.42,
21/07/2017,6.462,6.432,6.467,6.404,0.004,0.4,
28/07/2017,6.438,6.452,6.481,6.419,-0.0037,-0.37,
04/08/2017,6.502,6.453,6.514,6.442,0.0099,0.99,
11/08/2017,6.509,6.498,6.545,6.491,0.0011,0.11,
18/08/2017,6.538,6.51,6.548,6.505,0.0045,0.45,
24/08/2017,6.483,6.528,6.576,6.478,-0.0084,-0.84,
01/09/2017,6.543,6.49,6.548,6.477,0.0093,0.93,
08/09/2017,6.598,6.545,6.613,6.545,0.0084,0.84,
15/09/2017,6.663,6.607,6.694,6.577,0.0099,0.99,
22/09/2017,6.663,6.667,6.71,6.608,0,0,
29/09/2017,6.757,6.674,6.764,6.625,0.0141,1.41,
06/10/2017,6.734,6.76,6.786,6.72,-0.0034,-0.34,
13/10/2017,6.76,6.732,6.773,6.73,0.0039,0.39,
19/10/2017,6.807,6.791,6.843,6.768,0.007,0.7,
27/10/2017,6.858,6.821,6.898,6.818,0.0075,0.75,
03/11/2017,6.956,6.871,6.97,6.87,0.0143,1.43,
10/11/2017,7.049,6.976,7.084,6.953,0.0134,1.34,
17/11/2017,7.002,6.979,7.043,6.886,-0.0067,-0.67,
24/11/2017,7.058,7.012,7.079,7.012,0.008,0.8,
01/12/2017,7.089,7.088,7.109,7.012,0.0044,0.44,
08/12/2017,7.134,7.094,7.255,7.089,0.0063,0.63,
15/12/2017,7.271,7.17,7.293,7.143,0.0192,1.92,
22/12/2017,7.326,7.289,7.41,7.218,0.0076,0.76,
29/12/2017,7.288,7.349,7.423,7.281,-0.0052,-0.52,
05/01/2018,7.455,7.285,7.482,7.279,0.0229,2.29,
12/01/2018,7.479,7.471,7.587,7.374,0.0032,0.32,
19/01/2018,7.307,7.498,7.509,7.243,-0.023,-2.3,
25/01/2018,7.562,7.322,7.689,7.295,0.0349,3.49,
02/02/2018,7.49,7.62,7.62,7.452,-0.0095,-0.95,
09/02/2018,7.577,7.47,7.611,7.449,0.0116,1.16,
16/02/2018,7.667,7.606,7.816,7.603,0.0119,1.19,
23/02/2018,7.738,7.657,7.776,7.657,0.0093,0.93,
01/03/2018,7.671,7.755,7.8,7.634,-0.0087,-0.87,
09/03/2018,7.557,7.697,7.711,7.557,-0.0149,-1.49,
16/03/2018,7.557,7.585,7.677,7.521,0,0,
23/03/2018,7.398,7.577,7.63,7.286,-0.021,-2.1,
28/03/2018,7.175,7.333,7.367,7.123,-0.0301,-3.01,
06/04/2018,7.431,7.204,7.542,7.153,0.0357,3.57,
13/04/2018,7.718,7.404,7.797,7.404,0.0386,3.86,
20/04/2018,7.767,7.731,7.785,7.642,0.0063,0.63,
27/04/2018,7.728,7.731,7.759,7.683,-0.005,-0.5,
04/05/2018,7.726,7.601,7.761,7.553,-0.0003,-0.03,
11/05/2018,7.835,7.72,7.945,7.708,0.0141,1.41,
18/05/2018,7.794,7.901,7.901,7.787,-0.0052,-0.52,
25/05/2018,7.848,7.733,7.877,7.721,0.0069,0.69,
01/06/2018,7.947,7.868,7.997,7.823,0.0126,1.26,
08/06/2018,7.889,7.977,8,7.88,-0.0073,-0.73,
15/06/2018,7.819,7.832,7.921,7.769,-0.0089,-0.89,
22/06/2018,7.903,7.814,7.942,7.805,0.0107,1.07,
29/06/2018,7.87,7.889,7.917,7.836,-0.0042,-0.42,
06/07/2018,7.791,7.871,7.914,7.77,-0.01,-1,
13/07/2018,7.785,7.82,7.848,7.723,-0.0008,-0.08,
20/07/2018,7.78,7.788,7.819,7.756,-0.0006,-0.06,
27/07/2018,7.763,7.78,7.841,7.681,-0.0022,-0.22,
03/08/2018,7.754,7.754,7.793,7.737,-0.0012,-0.12,
10/08/2018,7.861,7.807,7.876,7.789,0.0138,1.38,
17/08/2018,7.871,7.836,7.9,7.814,0.0013,0.13,
24/08/2018,7.951,7.865,7.958,7.86,0.0102,1.02,
31/08/2018,8.031,7.94,8.11,7.917,0.0101,1.01,
07/09/2018,8.127,8.069,8.231,8.069,0.012,1.2,
14/09/2018,8.076,8.164,8.184,8.017,-0.0063,-0.63,
21/09/2018,8.024,8.094,8.141,8.015,-0.0064,-0.64,
28/09/2018,8.024,7.923,8.21,7.923,0,0,
05/10/2018,7.984,7.989,8.092,7.963,-0.005,-0.5,
12/10/2018,7.921,7.962,7.983,7.863,-0.0079,-0.79,
19/10/2018,7.877,7.935,7.938,7.83,-0.0056,-0.56,
26/10/2018,7.781,7.836,7.893,7.752,-0.0122,-1.22,
02/11/2018,7.765,7.799,7.812,7.757,-0.0021,-0.21,
09/11/2018,7.815,7.789,7.821,7.707,0.0064,0.64,
16/11/2018,7.71,7.82,7.836,7.704,-0.0134,-1.34,
22/11/2018,7.607,7.677,7.75,7.576,-0.0134,-1.34,
30/11/2018,7.464,7.646,7.653,7.371,-0.0188,-1.88,
07/12/2018,7.441,7.505,7.703,7.382,-0.0031,-0.31,
14/12/2018,7.276,7.443,7.463,7.218,-0.0222,-2.22,
21/12/2018,7.391,7.298,7.393,7.228,0.0158,1.58,
28/12/2018,7.448,7.368,7.475,7.339,0.0077,0.77,
04/01/2019,7.503,7.467,7.534,7.439,0.0074,0.74,
11/01/2019,7.596,7.474,7.609,7.423,0.0124,1.24,
18/01/2019,7.546,7.628,7.65,7.511,-0.0066,-0.66,
25/01/2019,7.61,7.558,7.651,7.425,0.0085,0.85,
01/02/2019,7.524,7.65,7.674,7.459,-0.0113,-1.13,
08/02/2019,7.577,7.524,7.584,7.436,0.007,0.7,
15/02/2019,7.605,7.601,7.61,7.541,0.0037,0.37,
22/02/2019,7.556,7.591,7.699,7.545,-0.0064,-0.64,
01/03/2019,7.532,7.55,7.587,7.524,-0.0032,-0.32,
08/03/2019,7.502,7.54,7.59,7.493,-0.004,-0.4,
15/03/2019,7.504,7.477,7.545,7.452,0.0003,0.03,
22/03/2019,7.346,7.471,7.474,7.301,-0.0211,-2.11,
29/03/2019,7.353,7.356,7.362,7.229,0.001,0.1,
05/04/2019,7.409,7.374,7.418,7.356,0.0076,0.76,
12/04/2019,7.42,7.411,7.43,7.376,0.0015,0.15,
18/04/2019,7.408,7.455,7.497,7.405,-0.0016,-0.16,
26/04/2019,7.397,7.395,7.421,7.369,-0.0015,-0.15,
03/05/2019,7.413,7.403,7.426,7.365,0.0022,0.22,
10/05/2019,7.362,7.418,7.419,7.348,-0.0069,-0.69,
17/05/2019,7.226,7.287,7.312,7.191,-0.0185,-1.85,
24/05/2019,7.032,7.226,7.228,7.03,-0.0268,-2.68,
31/05/2019,6.974,6.949,7.024,6.876,-0.0082,-0.82,
07/06/2019,6.919,6.984,7.097,6.914,-0.0079,-0.79,
14/06/2019,6.861,6.933,6.947,6.734,-0.0084,-0.84,
21/06/2019,6.879,6.84,6.957,6.811,0.0026,0.26,
28/06/2019,6.695,6.906,6.93,6.576,-0.0267,-2.67,
05/07/2019,6.488,6.713,6.713,6.457,-0.0309,-3.09,
12/07/2019,6.361,6.459,6.467,6.266,-0.0196,-1.96,
19/07/2019,6.525,6.424,6.556,6.406,0.0258,2.58,
26/07/2019,6.352,6.452,6.46,6.324,-0.0265,-2.65,
02/08/2019,6.494,6.367,6.523,6.296,0.0224,2.24,
09/08/2019,6.535,6.503,6.639,6.496,0.0063,0.63,
16/08/2019,6.564,6.553,6.627,6.531,0.0044,0.44,
23/08/2019,6.556,6.501,6.624,6.391,-0.0012,-0.12,
30/08/2019,6.597,6.498,6.603,6.488,0.0063,0.63,
06/09/2019,6.631,6.606,6.705,6.563,0.0052,0.52,
13/09/2019,6.782,6.723,6.874,6.552,0.0228,2.28,
20/09/2019,6.729,6.767,6.801,6.697,-0.0078,-0.78,
27/09/2019,6.68,6.706,6.71,6.582,-0.0073,-0.73,
04/10/2019,6.727,6.693,6.731,6.636,0.007,0.7,
11/10/2019,6.692,6.737,6.739,6.636,-0.0052,-0.52,
18/10/2019,6.67,6.711,6.711,6.66,-0.0033,-0.33,
27/10/2019,6.445,6.697,6.7,6.415,-0.0337,-3.37,
01/11/2019,6.554,6.457,6.554,6.449,0.0169,1.69,
08/11/2019,6.519,6.544,6.574,6.505,-0.0053,-0.53,
15/11/2019,6.495,6.526,6.53,6.449,-0.0037,-0.37,
22/11/2019,6.46,6.506,6.506,6.442,-0.0054,-0.54,
29/11/2019,6.661,6.463,6.668,6.448,0.0311,3.11,
06/12/2019,6.782,6.689,6.837,6.643,0.0182,1.82,
13/12/2019,6.598,6.767,6.801,6.555,-0.0271,-2.71,
20/12/2019,6.5,6.609,6.609,6.5,-0.0149,-1.49,
27/12/2019,6.51,6.501,6.559,6.485,0.0015,0.15,
03/01/2020,6.585,6.534,6.595,6.52,0.0115,1.15,
10/01/2020,6.622,6.588,6.692,6.581,0.0056,0.56,
17/01/2020,6.578,6.639,6.647,6.569,-0.0066,-0.66,
24/01/2020,6.599,6.549,6.6,6.547,0.0032,0.32,
01/02/2020,6.439,6.509,6.52,6.409,-0.0242,-2.42,
07/02/2020,6.369,6.432,6.488,6.367,-0.0109,-1.09,
14/02/2020,6.422,6.346,6.423,6.346,0.0083,0.83,
20/02/2020,6.371,6.384,6.404,6.326,-0.0079,-0.79,
28/02/2020,6.185,6.343,6.38,6.148,-0.0292,-2.92,
06/03/2020,6.322,6.094,6.355,5.995,0.0222,2.22,
13/03/2020,6.259,6.239,6.449,6.123,-0.01,-1,
20/03/2020,6.144,6.379,6.379,6.004,-0.0184,-1.84,
27/03/2020,6.306,6.19,6.315,6.079,0.0264,2.64,
31/03/2020,,,,,,,
